start,duration,value
2020-07-17T08:15:00+02:00,"[60,60]","[26,17]"
2020-07-17T08:20:00+02:00,"[60,60,60]","[12,7,12]"
2020-07-17T08:24:00+02:00,[60],[7]
2020-07-17T08:26:00+02:00,[60],[28]
2020-07-17T09:02:00+02:00,[60],[9]
2020-07-17T09:49:00+02:00,"[60,60,60]","[12,19,12]"
2020-07-17T10:14:00+02:00,"[60,60,60,60,60,60]","[16,0,7,30,28,14]"
2020-07-17T10:33:00+02:00,[60],[9]
2020-07-17T10:49:00+02:00,[60],[8]
2020-07-17T10:52:00+02:00,[60],[29]
2020-07-17T11:33:00+02:00,"[60,60]","[26,0]"
2020-07-17T11:36:00+02:00,[60],[15]
2020-07-17T12:20:00+02:00,"[60,60]","[24,9]"
2020-07-17T12:44:00+02:00,"[60,60,60,60,60]","[24,28,19,15,0]"
2020-07-17T12:50:00+02:00,"[60,60]","[9,18]"
2020-07-17T14:10:00+02:00,[60],[6]
2020-07-17T14:25:00+02:00,"[60,60,60]","[0,12,6]"
2020-07-17T16:05:00+02:00,"[60,60,60]","[0,18,0]"
2020-07-17T17:04:00+02:00,"[60,60,60,60]","[43,52,26,44]"
2020-07-17T17:10:00+02:00,[60],[7]
2020-07-17T17:26:00+02:00,"[60,60,60,60]","[8,6,8,62]"
2020-07-17T17:31:00+02:00,"[60,60,60,60,60]","[19,75,60,51,89]"
2020-07-17T17:38:00+02:00,[60],[13]
2020-07-17T17:41:00+02:00,"[60,60,60,60,60]","[6,24,24,19,0]"
2020-07-17T17:47:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,6,28,15,56,34,50,27,0,6,91,51,92,70,43,7,12,47,73,17,80,20,36,81,50,49,15,0]"
2020-07-17T18:18:00+02:00,"[60,60,60,60]","[29,24,13,0]"
2020-07-17T18:23:00+02:00,"[60,60]","[0,8]"
2020-07-17T18:26:00+02:00,"[60,60]","[8,0]"
2020-07-17T18:30:00+02:00,[60],[18]
2020-07-17T18:34:00+02:00,"[60,60,60,60]","[62,38,11,34]"
2020-07-17T18:40:00+02:00,"[60,60,60,60,60,60]","[8,10,52,2,29,61]"
2020-07-17T18:47:00+02:00,"[60,60,60,60]","[21,19,16,23]"
2020-07-17T20:41:00+02:00,"[60,60,60,60,60,60]","[8,15,27,49,79,19]"
2020-07-17T20:49:00+02:00,[60],[22]
