start,duration,value
2020-07-16T17:09:00+02:00,[60],[15.67]
2020-07-16T17:31:00+02:00,"[60,60]","[7.57,8.92]"
2020-07-16T17:59:00+02:00,[60],[0]
2020-07-16T18:04:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[36.09,25.75,70.93,18.81,0,34.92,85.04,59.57,18.45,0,29.62,6.95,11.46,32.54,36.41]"
2020-07-16T18:19:00+02:00,[60],[4.3]
2020-07-16T18:21:00+02:00,"[60,60,60,60]","[5.79,20.18,23.75,26.83]"
2020-07-16T18:27:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[60.58,43.94,47.43,43.56,8.73,0,0,5.72,33.69,13.23,32.67,4.39,11.23,0,10.65,0,0,0,14.44,9.45,18.89,35.37]"
2020-07-16T18:51:00+02:00,[60],[5.9]
2020-07-16T18:56:00+02:00,"[60,60,60]","[16.64,18.01,5.02]"
2020-07-16T19:00:00+02:00,"[60,60,60,60,60,60,60]","[0,0,7.93,0,19.13,63.73,27.35]"
2020-07-16T19:08:00+02:00,[60],[5.66]
2020-07-16T19:11:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[47.19,38.31,13.4,4.019,12.62,32.83,9.69,0,62.7,61.07,95.49,47.95,54.61,15.55,56.17,47.68,24]"
2020-07-16T19:29:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[36.6,60.7,137.39,130.419,135.01,11.83,5.45,7.55,0,4.43,15.6,0,5.62,7.42]"
2020-07-16T19:50:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,15.86,17.19,19.94,16.45,25.04,6.04,41.81,22.72,42.06,26.78,10.69,12.51,0]"
2020-07-16T20:13:00+02:00,[60],[10.65]
2020-07-16T20:30:00+02:00,[60],[5.68]
2020-07-16T20:57:00+02:00,"[60,60,60,60]","[15.04,13.08,17.66,31.88]"
2020-07-16T21:01:00+02:00,"[60,60]","[25.8,36.64]"
2020-07-16T21:04:00+02:00,[60],[11.48]
2020-07-16T21:06:00+02:00,"[60,60,60]","[0,0,8.01]"
2020-07-16T21:10:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,8.69,1.88,13.08,0,7.71]"
2020-07-16T21:23:00+02:00,"[60,60]","[24.57,11.63]"
2020-07-16T21:28:00+02:00,[60],[12.05]
2020-07-16T21:34:00+02:00,"[60,60,60]","[8.93,40.25,8.05]"
2020-07-16T21:44:00+02:00,"[60,60]","[25.71,2.81]"
2020-07-16T21:47:00+02:00,"[60,60]","[5.62,9.75]"
2020-07-16T21:50:00+02:00,[60],[7.15]
2020-07-16T22:04:00+02:00,[60],[5.3]
